prev_open,prev_high,prev_low,prev_close,prev_volume,close_lag_2,close_lag_3,close_lag_5,close_lag_10,volume_lag_2,volume_lag_3,volume_lag_5,volume_lag_10,return_1d_lag,sma_5,sma_10,sma_20,volume_sma_5,volume_sma_10,volume_sma_20,volatility_5d,volatility_20d,d,close
58100.02,58589.1,55450.11,57351.56,48564.47,58102.28,58030.01,58912.97,57221.72,44476.94,52392.65,70421.62,73405.41,-0.012920663354346829,58008.996,57992.935,54829.177,56487.21800000001,67244.576,69174.36799999999,589.2234717223179,4139.695113155559,2021-03-22 01:00:00,54083.25
57351.56,58430.73,53650.0,54083.25,62581.63,57351.56,58102.28,57648.16,61188.39,48564.47,44476.94,66580.41,83245.09,-0.05698729031956584,57043.052,57679.088,55111.30699999999,54919.22000000001,66162.198,69092.3965,1682.0977087162896,3864.518898969773,2021-03-23 01:00:00,54340.89
54083.25,55830.9,53000.0,54340.89,59789.37,54083.25,57351.56,58030.01,58968.31,62581.63,48564.47,52392.65,52601.05,0.004763766970365069,56381.598,56994.338,55310.88300000001,53561.012,63816.62599999999,68030.0695,2004.1037659434353,3705.4476741811577,2021-03-24 01:00:00,52303.65
54342.8,57200.0,51700.0,52303.65,83537.47,54340.89,54083.25,58102.28,55605.2,59789.37,62581.63,44476.94,102771.43,-0.03749000062383956,55236.326,56327.871999999996,55507.361,59789.976,66910.26800000001,68074.45700000001,2419.70481762317,3410.7321945631097,2021-03-25 01:00:00,51293.78
52303.66,53287.0,50427.56,51293.78,87400.53,52303.65,54340.89,57351.56,56900.75,83537.47,59789.37,48564.47,77986.69,-0.019307830333064713,53874.626000000004,55896.73,55634.4645,68374.69399999999,65373.178,68534.8585,2317.2574198670563,3185.667957497268,2021-03-26 01:00:00,55025.59
51293.78,55073.46,51214.6,55025.59,63813.77,51293.78,52303.65,54083.25,58912.97,87400.53,83537.47,62581.63,70421.62,0.07275365551144786,53409.43200000001,55709.214,55941.634000000005,71424.554,63955.886,69505.5855,1551.80125986512,2769.30274919477,2021-03-27 01:00:00,55817.14
55025.59,56700.36,53950.0,55817.14,50105.48,55025.59,51293.78,54340.89,57648.16,63813.77,87400.53,59789.37,66580.41,0.014385125175395697,53756.21,55399.630999999994,56183.9035,68929.324,61924.272,69249.10800000001,1895.6595692657838,2511.589748045224,2021-03-28 01:00:00,55777.63
55817.14,56559.75,54691.84,55777.63,39050.39,55817.14,55025.59,52303.65,58030.01,50105.48,63813.77,83537.47,52392.65,-0.0007078470878300047,54043.558,55212.578,56354.0265,64781.528000000006,59171.27,67852.2595,2103.89784439951,2350.0654948032443,2021-03-29 02:00:00,57635.47
55777.65,58405.82,54800.01,57635.47,67857.94,55777.63,55817.14,51293.78,58102.28,39050.39,50105.48,87400.53,44476.94,0.03330797669244823,55109.922,55173.123999999996,56491.575,61645.621999999996,60717.799,67662.3195,2339.574513852638,2340.0128911012043,2021-03-30 02:00:00,58746.57
57635.46,59368.0,57071.35,58746.57,55122.44,57635.47,55777.63,55025.59,57351.56,67857.94,39050.39,63813.77,48564.47,0.01927805915350378,56600.48,55237.553,56636.324,55190.004,61782.349,66180.97949999999,1536.870910193392,2387.400286919209,2021-03-31 02:00:00,58740.55
